Player,Range,Num Rushes,Average Rush,Num TDs,Normalized Average Rush,Normalized Num Rushes,Normalized TD Rate,Normalized Num TDs
Jamal Lewis,25-26,28,3.5357142857142856,1,0.833797240081543,0.6951124903025601,2.0925324675324672,1.4545454545454546
Jamal Lewis,27-28,53,4.283018867924528,1,1.0726793809421526,1.3524720893141946,1.4787735849056602,2.0
Jamal Lewis,29-30,57,3.508771929824561,0,0.8008337447205309,1.3150684931506849,0.0,0.0
Jamal Lewis,31-32,39,4.384615384615385,1,0.9761225200139227,1.0146341463414634,2.102564102564102,2.1333333333333333
Jamal Lewis,33-34,47,4.702127659574468,0,1.0918922990020712,1.146341463414634,0.0,0.0
Jamal Lewis,35-36,38,4.026315789473684,1,0.9309135595252368,0.8557353976073188,2.671052631578947,2.2857142857142856
Jamal Lewis,37-38,40,4.7,0,0.9842105263157895,0.9778456837280367,0.0,0.0
Jamal Lewis,39-40,59,3.389830508474576,0,0.7574456006155178,1.2412886259040106,0.0,0.0
Jamal Lewis,41-42,43,4.1395348837209305,0,0.8541302746501105,1.0058479532163742,0.0,0.0
Jamal Lewis,43-44,49,5.36734693877551,0,1.1528375213102864,1.0460306871247498,0.0,0.0
Jamal Lewis,45-46,55,3.1636363636363636,0,0.6832898530825209,1.118881118881119,0.0,0.0
Jamal Lewis,47-48,51,2.980392156862745,0,0.7048192582725963,1.100472016183412,0.0,0.0
Jamal Lewis,49-50,61,3.5901639344262297,0,0.7936858672989657,1.1009588268471517,0.0,0.0
Jamal Lewis,51-52,56,3.6607142857142856,0,0.7908798530853989,1.1165109034267913,0.0,0.0
Jamal Lewis,53-54,62,3.5161290322580645,0,0.766979310567687,1.1389207807118256,0.0,0.0
Jamal Lewis,55-56,74,3.3513513513513513,0,0.7335979571713903,1.264957264957265,0.0,0.0
Jamal Lewis,57-58,72,4.847222222222222,0,1.032977638340176,1.2562704471101418,0.0,0.0
Jamal Lewis,59-60,90,4.944444444444445,0,1.0387527933996337,1.306715063520871,0.0,0.0
Jamal Lewis,61-62,81,4.617283950617284,0,0.953141493414108,1.3728813559322033,0.0,0.0
Jamal Lewis,63-64,81,5.555555555555555,1,1.1847931368479314,1.2613138686131387,2.3063973063973062,2.909090909090909
Jamal Lewis,65-66,76,5.565789473684211,1,1.165239012331484,1.057391304347826,3.782894736842105,4.0
Jamal Lewis,67-68,64,4.28125,0,0.9051639119145112,0.9674067076051016,0.0,0.0
Jamal Lewis,69-70,96,5.03125,0,1.076788536630718,1.3344917463075587,0.0,0.0
Jamal Lewis,71-72,79,5.0886075949367084,1,1.0456172102198869,1.1392519152771519,3.5110759493670884,4.0
Jamal Lewis,73-74,69,3.579710144927536,0,0.7249122713778081,1.1106639839034205,0.0,0.0
Jamal Lewis,75-76,83,5.650602409638554,1,1.2166612395528058,1.2347745234774523,6.4789156626506035,8.0
Jamal Lewis,77-78,66,5.045454545454546,0,1.071923761872456,1.159165751920966,0.0,0.0
Jamal Lewis,79-80,138,4.978260869565218,0,1.0504337363149536,1.1446345256609642,0.0,0.0
Jamal Lewis,81-82,35,6.2,1,1.2767319636884853,0.8662026295436969,9.235714285714284,8.0
Jamal Lewis,83-84,39,3.9743589743589745,0,0.8719015823653161,1.127371273712737,0.0,0.0
Jamal Lewis,85-86,37,4.378378378378378,0,0.8998110207877132,1.0657065706570656,0.0,0.0
Jamal Lewis,87-88,30,5.166666666666667,0,1.0010622477161675,1.0526315789473684,0.0,0.0
Jamal Lewis,89-90,29,5.241379310344827,0,1.1530790186356368,0.9830508474576272,0.0,0.0
Jamal Lewis,91-92,26,4.153846153846154,0,0.8232944433458573,1.0791180285343709,0.0,0.0
Jamal Lewis,93-94,21,6.238095238095238,0,1.3973734013878534,1.2043010752688172,0.0,0.0
Jamal Lewis,95-96,19,6.2105263157894735,0,1.3395252837977294,1.2282828282828282,0.0,0.0
Jamal Lewis,97-98,10,4.9,0,1.1888965044551063,0.903954802259887,0.0,0.0
Jamal Lewis,99-100,3,6.666666666666667,0,2.597137014314929,0.7559055118110236,NaN,NaN
Eddie George,1-2,57,0.5087719298245614,28,1.043071506069725,1.0381331815594763,0.9785575048732943,1.0158730158730158
Eddie George,3-4,45,1.6222222222222222,11,1.1087056849171386,1.3259668508287292,0.840084388185654,1.1139240506329113
Eddie George,5-6,50,1.86,10,0.8145718774548312,1.4349775784753362,1.1319796954314723,1.6243654822335025
Eddie George,7-8,52,2.576923076923077,5,0.9687535931930551,1.654075546719682,0.8411371237458194,1.391304347826087
Eddie George,9-10,45,2.022222222222222,0,0.6925989541585555,1.444332998996991,0.0,0.0
Eddie George,11-12,44,4.25,1,1.298846482483623,1.3122087604846224,0.44338842975206616,0.5818181818181818
Eddie George,13-14,48,3.5833333333333335,5,0.9840384615384616,1.4341736694677871,1.7431640625,2.5
Eddie George,15-16,58,3.2241379310344827,1,0.876510679267273,1.672072072072072,0.390570021111893,0.653061224489796
Eddie George,17-18,36,3.5277777777777777,0,0.9712100764732343,1.1294117647058823,0.0,0.0
Eddie George,19-20,69,4.27536231884058,4,1.0490153108929408,1.8142974527526705,2.6129898013955986,4.7407407407407405
Eddie George,21-22,57,4.035087719298246,0,1.0236247146952586,1.7354900095147479,0.0,0.0
Eddie George,23-24,59,2.7966101694915255,1,0.7092526593574013,1.4936708860759493,0.8926553672316384,1.3333333333333333
Eddie George,25-26,69,3.318840579710145,0,0.7826537700780053,1.7129557796741661,0.0,0.0
Eddie George,27-28,72,3.4444444444444446,0,0.862658944144864,1.8373205741626795,0.0,0.0
Eddie George,29-30,72,3.8333333333333335,1,0.87491086610718,1.6611391492429703,0.9173280423280423,1.5238095238095237
Eddie George,31-32,66,4.015151515151516,0,0.8938708350473057,1.7170731707317073,0.0,0.0
