kan,2007,4-12-0,4.5-11.5
kan,2008,2-14-0,4.4-11.6
kan,2009,4-12-0,4.7-11.3
kan,2010,10-6-0,9.1-6.9
kan,2011,7-9-0,4.0-12.0
kan,2012,2-14-0,2.6-13.4
kan,2013,11-5-0,11.1-4.9
kan,2014,9-7-0,10.1-5.9
mia,1988,6-10-0,6.4-9.6
mia,1989,8-8-0,6.7-9.3
mia,1990,12-4-0,11.0-5.0
mia,1991,8-8-0,7.8-8.2
mia,1992,11-5-0,9.8-6.2
mia,1993,9-7-0,7.9-8.1
mia,1994,10-6-0,9.6-6.4
mia,1995,9-7-0,9.7-6.3
mia,1996,8-8-0,8.4-7.6
mia,1997,9-7-0,8.3-7.7
mia,1998,10-6-0,9.8-6.2
mia,1999,9-7-0,7.7-8.3
mia,2000,11-5-0,11.2-4.8
mia,2001,11-5-0,9.6-6.4
mia,2002,9-7-0,10.1-5.9
mia,2003,10-6-0,9.6-6.4
mia,2004,4-12-0,5.7-10.3
mia,2005,9-7-0,8.0-8.0
mia,2006,6-10-0,7.2-8.8
mia,2007,1-15-0,3.8-12.2
mia,2008,11-5-0,8.8-7.2
mia,2009,7-9-0,7.2-8.8
mia,2010,7-9-0,6.2-9.8
mia,2011,6-10-0,8.5-7.5
mia,2012,7-9-0,7.1-8.9
mia,2013,8-8-0,7.5-8.5
mia,2014,8-8-0,8.4-7.6
min,1988,11-5-0,12.6-3.4
min,1989,10-6-0,10.3-5.7
min,1990,6-10-0,8.7-7.3
min,1991,8-8-0,7.8-8.2
min,1992,11-5-0,11.6-4.4
min,1993,9-7-0,7.6-8.4
min,1994,10-6-0,9.2-6.8
min,1995,8-8-0,8.6-7.4
min,1996,9-7-0,7.5-8.5
min,1997,9-7-0,7.9-8.1
min,1998,15-1-0,13.1-2.9
min,1999,10-6-0,9.6-6.4
min,2000,11-5-0,8.6-7.4
min,2001,5-11-0,5.3-10.7
min,2002,6-10-0,6.8-9.2
min,2003,9-7-0,9.5-6.5
min,2004,8-8-0,8.2-7.8
min,2005,9-7-0,6.9-9.1
min,2006,6-10-0,6.6-9.4
min,2007,8-8-0,9.5-6.5
min,2008,10-6-0,9.2-6.8
min,2009,12-4-0,11.6-4.4
min,2010,6-10-0,6.0-10.0
min,2011,3-13-0,5.5-10.5
min,2012,10-6-0,8.8-7.2
min,2013,5-10-1,6.1-9.9
min,2014,7-9-0,7.5-8.5
nor,1988,10-6-0,8.9-7.1
nor,1989,9-7-0,10.3-5.7
nor,1990,8-8-0,8.0-8.0
nor,1991,11-5-0,12.1-3.9
nor,1992,12-4-0,12.2-3.8
nor,1993,8-8-0,7.3-8.7
nor,1994,7-9-0,6.5-9.5
nor,1995,7-9-0,7.2-8.8
nor,1996,3-13-0,4.5-11.5
nor,1997,6-10-0,5.1-10.9
nor,1998,6-10-0,6.5-9.5
nor,1999,3-13-0,3.7-12.3
nor,2000,10-6-0,9.4-6.6
nor,2001,7-9-0,6.1-9.9
nor,2002,9-7-0,9.0-7.0
nor,2003,8-8-0,8.4-7.6
nor,2004,8-8-0,6.6-9.4
nor,2005,3-13-0,3.6-12.4
nor,2006,10-6-0,10.3-5.7
nor,2007,7-9-0,7.8-8.2
nor,2008,8-8-0,9.5-6.5
nor,2009,13-3-0,11.6-4.4
nor,2010,11-5-0,10.1-5.9
nor,2011,13-3-0,12.1-3.9
nor,2012,7-9-0,8.1-7.9
nor,2013,11-5-0,10.8-5.2
nor,2014,7-9-0,7.5-8.5
nwe,1988,9-7-0,6.8-9.2
nwe,1989,5-11-0,5.5-10.5
nwe,1990,1-15-0,1.7-14.3
nwe,1991,6-10-0,4.7-11.3
nwe,1992,2-14-0,3.3-12.7
nwe,1993,5-11-0,6.3-9.7
nwe,1994,10-6-0,9.1-6.9
nwe,1995,6-10-0,5.7-10.3
nwe,1996,11-5-0,10.6-5.4
nwe,1997,10-6-0,10.3-5.7
nwe,1998,9-7-0,8.2-7.8
nwe,1999,8-8-0,8.5-7.5
nwe,2000,5-11-0,6.1-9.9
nwe,2001,11-5-0,10.8-5.2
nwe,2002,9-7-0,8.9-7.1
nwe,2003,14-2-0,11.4-4.6
nwe,2004,14-2-0,12.4-3.6
nwe,2005,10-6-0,9.1-6.9
nwe,2006,12-4-0,12.2-3.8
nwe,2007,16-0-0,13.8-2.2
nwe,2008,11-5-0,10.6-5.4
nwe,2009,10-6-0,11.6-4.4
nwe,2010,14-2-0,12.3-3.7
nwe,2011,13-3-0,11.6-4.4
nwe,2012,12-4-0,12.4-3.6
nwe,2013,12-4-0,10.5-5.5
nwe,2014,12-4-0,11.5-4.5
nyg,1988,10-6-0,9.6-6.4
nyg,1989,12-4-0,10.9-5.1
nyg,1990,13-3-0,12.0-4.0
nyg,1991,8-8-0,7.5-8.5
nyg,1992,6-10-0,6.3-9.7
nyg,1993,11-5-0,11.1-4.9
nyg,1994,9-7-0,7.2-8.8
nyg,1995,5-11-0,6.5-9.5
nyg,1996,6-10-0,6.1-9.9
nyg,1997,10-5-1,9.4-6.6
nyg,1998,8-8-0,7.3-8.7
nyg,1999,7-9-0,6.3-9.7
nyg,2000,12-4-0,10.6-5.4
nyg,2001,7-9-0,7.2-8.8
nyg,2002,10-6-0,9.3-6.7
nyg,2003,4-12-0,4.0-12.0
nyg,2004,6-10-0,6.7-9.3
nyg,2005,11-5-0,10.7-5.3
nyg,2006,8-8-0,7.8-8.2
nyg,2007,10-6-0,8.6-7.4
nyg,2008,12-4-0,11.3-4.7
nyg,2009,8-8-0,7.4-8.6
nyg,2010,10-6-0,9.2-6.8
nyg,2011,9-7-0,7.9-8.1
nyg,2012,9-7-0,10.0-6.0
nyg,2013,7-9-0,5.6-10.4
nyg,2014,6-10-0,7.5-8.5
nyj,1988,8-7-1,8.5-7.5
nyj,1989,4-12-0,3.8-12.2
